"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Dedicated","JVM","TestKIR","CILabel","Common","InstrumentPropertyAccessors","Methods","Native","Enabled","FlushEarly","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"119463.68","109514.5","23141.11964063193","102783","196042","113049.2888921211","125878.07110787889","commonmain-plain-jar","1702.4181","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5273.2759","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112847.12","112414.5","2574.1081644812402","109515","120984","112133.61361926395","113560.62638073604","commonmain-plain-linux-exe","13873.1398","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110849.7","110652.5","4094.309347205246","103708","121239","109714.81534975575","111984.58465024424","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2404.2726","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3204.6286","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114120.96","113701.5","2295.6141942799513","109988","122677","113484.64820940474","114757.27179059527","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15672.5497","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110187.66","109365.5","3533.6219240955843","104018","117443","109208.18997432645","111167.13002567356","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2404.2726","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3204.6286","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113922.42","113711","2917.391196159434","109049","125038","113113.76041751412","114731.07958248588","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15672.5497","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110098.02","109613","4148.185000154912","103152","123760","108948.20178065546","111247.83821934454","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1723.4105","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
