"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Dedicated","JVM","Methods","Reference","CILabel","TestKIR","Enabled","InstrumentPropertyAccessors","Native","JS","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"206936.92","199984.5","17103.292049551306","188752","245293","202196.12931477014","211677.7106852299","commonmain-plain-jar","2775.7988","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8127.4718","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"252005.88","233836","44448.15790615638","221861","444401","239685.4792042561","264326.2807957439","commonmain-plain-win-exe","98399.8246","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201098.24","197539","13436.22309291004","187038","251927","197373.90897068745","204822.57102931253","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4597.4568","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5692.4388","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227926.84","226882.5","7230.1219182991235","219188","246190","225922.75245100397","229930.92754899603","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27427.0771","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212986.94","200967.5","25011.18567672293","187707","286261","206054.19303296958","219919.68696703043","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4597.4568","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5692.4388","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253200","240680","28452.196224544776","229423","338300","245313.45357110986","261086.54642889014","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27427.0771","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210291.8","203007.5","19366.09706340923","189166","275861","204923.7917650078","215659.80823499218","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4705.0738","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
