"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Common","Methods","TestKIR","FlushEarly","Dedicated","Native","InstrumentPropertyAccessors","Enabled","JS","Reference","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"219006.22","201551.5","43763.3132570687","184303","396741","206875.64845606434","231136.79154393566","commonmain-plain-jar","2875.7859","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8325.7052","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229337.48","226207","15926.502375856517","217518","306379","224922.8787704237","233752.08122957632","commonmain-plain-win-exe","104726.774","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188907.48","187403","7301.020343117273","179488","224849","186883.74041027395","190931.21958972607","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4186.7519","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6661.1355","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222684.14","219989","6678.6215185592955","213390","242452","220832.92056261736","224535.35943738266","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27832.1319","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187060.3","186292.5","4528.453411035423","180587","202906","185805.07675482964","188315.52324517033","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4186.7519","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6661.1355","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219898.38","218512","4451.820095059492","213860","234482","218664.39842628708","221132.36157371293","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27832.1319","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189503.1","187333.5","8665.519031877822","181385","225337","187101.1406701828","191905.05932981722","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4205.7341","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
