"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","FlushEarly","TestKIR","Reference","JVM","Native","Common","Enabled","CILabel","JS","Methods","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"169565.28","157013","31990.826004506547","147210","281540","160697.87543861015","178432.68456138985","commonmain-plain-jar","1970.9946","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6176.0513","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137797.74","137651.5","3019.6143071050433","131993","147413","136960.7456167762","138634.73438322378","commonmain-plain-linux-exe","17158.0653","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153362.88","153585.5","4463.84057044686","144330","163282","152125.56652050055","154600.19347949946","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2304.5522","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3868.4818","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137906.56","137827","2308.3647287238487","133719","143259","137266.71394157206","138546.40605842794","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18541.0818","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155739.96","155096","5390.269486883239","144879","169238","154245.85352621356","157234.06647378643","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2304.5522","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3868.4818","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138287.5","137978","2059.4225488456414","134816","146364","137716.65719335005","138858.34280664995","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18541.0818","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155675.04","154846.5","5944.938282441696","144294","170409","154027.187180086","157322.892819914","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1729.654","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
