"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Methods","Enabled","CILabel","Native","TestKIR","Common","JS","Reference","FlushEarly","JVM","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"191563.06","190210","9245.96297433951","182168","229585","189000.20981783996","194125.91018216003","commonmain-plain-jar","2889.5436","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8273.2464","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230561.28","226269.5","11861.360735237275","219965","265908","227273.47854488544","233849.08145511456","commonmain-plain-win-exe","115714.1141","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194590.3","193915.5","5084.261474874985","184641","210869","193181.0146196458","195999.58538035417","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3093.0315","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5702.6055","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243018.42","236628.5","19456.04980157135","224111","321635","237625.47813808065","248411.36186191937","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25367.4026","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201253.64","196247","12398.235176847076","189351","248508","197817.0245420287","204690.25545797133","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3093.0315","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5702.6055","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224813.8","223043","7955.242104347012","218182","264715","222608.7193899179","227018.88061008207","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25367.4026","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195951","194193","7370.550819833963","187845","224766","193907.9875454124","197994.0124545876","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3306.6228","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
