"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Enabled","Reference","Common","Methods","JVM","FlushEarly","InstrumentPropertyAccessors","CILabel","TestKIR","Native","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"146455.8","143880","13474.843286355386","134768","218032","142720.7639992225","150190.8360007775","commonmain-plain-jar","1940.6318","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6126.2481","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145479.12","144989","3874.5179062322436","139976","162086","144405.1584289524","146553.0815710476","commonmain-plain-linux-exe","16480.0299","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142670.36","141989.5","4496.548244226126","133996","156524","141423.9804158735","143916.73958412648","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2524.7589","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3763.6711","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145463.28","144951.5","3330.5135477023014","140140","156496","144540.10874394974","146386.45125605026","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19119.3627","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144527.08","143308.5","5292.231209720798","135679","157462","143060.14835020772","145994.01164979226","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2524.7589","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3763.6711","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145862.42","144396","6819.208237271047","139653","181172","143972.2319123362","147752.60808766383","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19119.3627","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143554.82","142333.5","4849.801059206197","135917","154701","142210.5237311828","144899.11626881722","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1627.58","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
