"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","FlushEarly","JVM","CILabel","Enabled","InstrumentPropertyAccessors","Dedicated","JS","Reference","Native","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"127575.92","127742.5","6231.954683495608","114717","144585","125848.51029263517","129303.32970736483","commonmain-plain-jar","1719.6259","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5157.7893","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111281.32","110281.5","5430.78155551054","105637","143279","109775.98415370264","112786.65584629738","commonmain-plain-linux-exe","13756.7564","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"123090.72","123386.5","4477.901453829023","114806","133669","121849.50904247286","124331.93095752715","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1975.6817","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3097.7912","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"105810.14","106012","3412.6322237073414","99414","120158","104864.20660826495","106756.07339173504","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","27506.1951","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121207.06","121050","5069.610963659552","111273","132197","119801.83553417052","122612.28446582948","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1975.6817","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3097.7912","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"106126.64","105465","3945.3480059638937","101351","121319","105033.04532697011","107220.23467302989","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","27506.1951","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121421.94","120739.5","6308.570689085102","112209","151848","119673.29341937207","123170.58658062793","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2165.8638","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2986.4789","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"106791.56","106322.5","3063.1098786983785","100632","118233","105942.50925943513","107640.61074056487","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","13895.9008","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120099.28","120011.5","3825.4309776674786","113739","130136","119038.92463137425","121159.63536862575","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2165.8638","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2986.4789","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"105198.66","104261","4413.955274779651","99307","126134","103975.17401899288","106422.14598100712","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","13895.9008","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120163.7","121165.5","5251.496806062214","108708","130929","118708.05935084513","121619.34064915487","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1627.3959","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2478.2613","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"105747.08","104948.5","4507.066079672076","99415","125691","104497.78502062874","106996.37497937126","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11554.7647","50","False","500","System.String[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","True","True","System.Boolean[]","2026-09-18 03:47:39","bee88d2e6a407cb5f270e485276b4b0206cf6863","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.64","145","83","0.02","157","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
