"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","TestKIR","Enabled","Dedicated","Methods","InstrumentPropertyAccessors","JVM","FlushEarly","Reference","Native","CILabel","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"113620.48","109718","11021.664317893486","104879","148196","110565.43051697544","116675.52948302455","commonmain-plain-jar","1632.8199","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4883.4013","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"142108.74","141760.5","3657.8209405411335","135531","152561","141094.84376336227","143122.6362366377","commonmain-plain-win-exe","115154.5165","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"106822.88","105434.5","4060.709245580488","99954","118621","105697.30882276107","107948.45117723894","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1835.8291","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2668.9318","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"145602.24","144224","4314.126480315947","137746","163967","144406.42514906186","146798.05485093812","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","16444.9671","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"115404.72","110189.5","14648.067218105001","103481","171972","111344.48291681023","119464.95708318977","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1835.8291","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2668.9318","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"149474.18","147102.5","7877.775330041612","140363","183241","147290.57208423768","151657.7879157623","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","16444.9671","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"117974.94","111100","19942.826309237313","103945","196588","112447.07057403942","123502.80942596059","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4296.7548","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
