"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Methods","Native","CILabel","Reference","FlushEarly","TestKIR","Dedicated","Common","Enabled","JVM","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"154952.86","154610.5","5941.885356706648","147071","178766","153305.85340792596","156599.86659207402","commonmain-plain-jar","2141.2598","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6253.0665","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137432.74","137905.5","2900.0284925412407","130456","147452","136628.89311341764","138236.58688658234","commonmain-plain-linux-exe","17340.7735","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153531.5","152955","5670.54009323447","144559","167241","151959.70647765681","155103.29352234319","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2737.1884","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3498.1425","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136872.24","137155.5","2923.939700095731","130404","143660","136061.76526483044","137682.71473516955","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17808.4425","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152804.4","152274","4285.650994770758","144477","162073","151616.4781509611","153992.32184903888","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2737.1884","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3498.1425","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137466.64","137675","2752.793577440924","132202","144330","136703.60454972045","138229.67545027958","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17808.4425","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152205.7","152298","4768.46161497284","140759","167504","150883.94987484018","153527.45012515984","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1787.1106","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
