"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Enabled","Methods","Native","CILabel","Common","InstrumentPropertyAccessors","Dedicated","FlushEarly","JVM","TestKIR","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"193693.7","186421","30360.66963059885","180236","368625","185278.15173215294","202109.24826784708","commonmain-plain-jar","2847.5598","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8102.8611","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237315.78","226422.5","21590.963598549224","217247","319495","231331.07022502867","243300.48977497133","commonmain-plain-win-exe","98982.4336","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191369.56","190498","4296.028665202886","184896","201585","190178.761607476","192560.358392524","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3084.6454","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5288.9349","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223375.62","221739.5","5544.404087851802","217562","247008","221838.78959456188","224912.4504054381","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24145.9542","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193930.26","192887.5","7883.741271834364","184045","237424","191744.99840954176","196115.52159045826","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3084.6454","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5288.9349","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222908.3","221930","4139.571516079253","218281","237041","221760.86931663126","224055.73068336872","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24145.9542","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194016.52","191350","10403.098744085035","185616","245182","191132.92814642005","196900.11185357993","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5828.9736","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
