"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","FlushEarly","Methods","Reference","Enabled","Common","Dedicated","TestKIR","Native","InstrumentPropertyAccessors","JVM","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"154240.24","151902","8191.060967784283","143855","182599","151969.79373587036","156510.68626412962","commonmain-plain-jar","1951.9113","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6051.4788","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134079.14","133682.5","4056.986978947176","129052","156093","132954.60058243238","135203.67941756765","commonmain-plain-linux-exe","16861.606","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151822.24","151166","5356.918420289098","142132","173815","150337.37797023015","153307.10202976983","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2048.5023","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3516.947","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135155.94","135323.5","2737.6760247945144","129381","142488","134397.094921525","135914.78507847502","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19357.7588","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150944.64","150447.5","4501.826208850567","142916","165653","149696.7974387194","152192.48256128063","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2048.5023","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3516.947","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134267.12","133918","2993.8862986058093","128766","141177","133437.2570568925","135096.9829431075","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19357.7588","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151735.94","151550","4104.064880986525","143199","161154","150598.35125375216","152873.52874624784","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1691.9968","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
