"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Methods","Common","Native","Dedicated","JVM","Reference","FlushEarly","TestKIR","InstrumentPropertyAccessors","CILabel","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"236341.08","228519","23549.966117086416","216091","335557","229813.36243066273","242868.79756933724","commonmain-plain-jar","2324.9509","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6368.7579","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205895.96","201973","10716.230792892182","196396","237375","202925.57237073363","208866.34762926635","commonmain-plain-win-exe","85513.9181","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230172.64","228540.5","11952.665269780988","221366","296536","226859.5302191181","233485.74978088192","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3240.9126","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3568.7714","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202406.78","201233.5","5651.321981119614","194760","232153","200840.31346655684","203973.24653344316","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","20350.5952","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230074.48","228387.5","6301.608723142991","220921","255074","228327.76317787668","231821.19682212334","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3240.9126","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3568.7714","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203519.38","200642.5","12687.390017844407","196080","264753","200002.6149092669","207036.1450907331","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","20350.5952","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230668.08","230099.5","5111.108118358583","218469","250349","229251.35310973134","232084.80689026864","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3989.2907","50","False","500","True","System.String[]","True","True","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-09-21 02:35:00","9c0625a0ad765e18a4675b9f5be721aa928c99ee","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.1","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
