"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","FlushEarly","CILabel","Methods","Dedicated","Enabled","Native","TestKIR","JVM","JS","Reference","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155135.92","153453","7401.778996970932","143615","181830","153084.2515363319","157187.58846366813","commonmain-plain-jar","2021.3529","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6361.1041","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138328.8","137550","4537.340122555846","130379","157630","137071.11348407005","139586.48651592992","commonmain-plain-linux-exe","16366.6843","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153938.2","153199.5","4600.937761556255","144955","164337","152662.88511792265","155213.51488207738","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2152.7085","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3913.7842","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142661.92","137735","29493.261030234535","131882","342865","134486.80512947676","150837.03487052326","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15820.9841","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153566.94","152501","4138.480379737154","147175","162083","152419.81176419472","154714.0682358053","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2152.7085","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3913.7842","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137435.58","136555","3440.444490089581","129961","145939","136481.9374413386","138389.22255866136","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15820.9841","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153465.48","152521.5","4905.966909378655","144304","167374","152105.61535179982","154825.3446482002","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1714.224","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
