"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JS","Dedicated","TestKIR","CILabel","Enabled","Common","Reference","Native","FlushEarly","Methods","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"231831.08","220112","33705.29305846093","208678","363919","222488.44941686108","241173.7105831389","commonmain-plain-jar","2862.2711","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8286.4199","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"264170.56","265202.5","37840.70733642299","219670","333868","253681.65106110775","274659.46893889224","commonmain-plain-win-exe","96855.9798","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206173.92","201085.5","18151.750319650688","189533","260775","201142.5115093594","211205.32849064062","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3801.4652","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4562.6629","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230127.9","228090.5","8975.322681368836","221064","276337","227640.06747971734","232615.73252028265","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26550.93","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203627.08","198240","16255.007812150114","188482","253427","199121.42170913302","208132.73829086695","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3801.4652","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4562.6629","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228264.92","226199","8045.891533254594","220524","263736","226034.71265016857","230495.12734983145","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26550.93","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220066.46","205832","27790.703558086996","190908","298401","212363.26998357158","227769.6500164284","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","6918.282","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
