"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Methods","Dedicated","Reference","TestKIR","Common","Enabled","Native","JS","InstrumentPropertyAccessors","FlushEarly","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"197838.92","196138.5","7142.876119517649","188659","227820","195859.01575261576","199818.82424738427","commonmain-plain-jar","2051.9017","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5912.637","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194482.22","179335","74654.25374276665","165378","693783","173789.11660615486","215175.32339384514","commonmain-plain-win-exe","119002.2117","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206495.26","201714.5","12246.303285298392","192555","253843","203100.75791377938","209889.76208622064","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2647.3409","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3349.8239","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"170220.52","169391","4749.849072747212","162850","189570","168903.92900833074","171537.11099166924","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","17478.8113","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207071.46","204534.5","8880.0797436436","196190","232844","204610.02747515056","209532.89252484942","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2647.3409","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3349.8239","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"173835.46","170997.5","7900.5495112681865","163600","196494","171645.539403269","176025.38059673097","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","17478.8113","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"213695.36","206620","19885.068664355233","194557","284455","208183.5001764051","219207.21982359487","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3300.0926","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
