"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","JS","Enabled","CILabel","Common","FlushEarly","InstrumentPropertyAccessors","Reference","Methods","Dedicated","Native","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155605.66","154486.5","6455.394724205958","146976","181343","153816.315873189","157395.004126811","commonmain-plain-jar","2005.7741","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6550.7527","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136162.96","136095.5","3245.4078134986935","129813","149958","135263.37884992483","137062.54115007515","commonmain-plain-linux-exe","16964.6821","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154520.42","153557.5","5104.390063664886","145249","167322","153105.55525948724","155935.28474051278","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2616.456","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3669.4258","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136708.3","136139.5","3440.914082695149","131533","148205","135754.5272769092","137662.07272309077","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16444.7638","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155402.88","154755.5","4004.085947007183","147960","165332","154293.00400037164","156512.75599962837","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2616.456","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3669.4258","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135880.8","135797.5","3053.9745732205356","130465","144808","135034.28143692415","136727.31856307582","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16444.7638","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154878.66","154680.5","6129.225285166677","143810","171045","153179.72542907594","156577.59457092406","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1641.341","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
