"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","CILabel","Common","TestKIR","JVM","FlushEarly","Dedicated","JS","Methods","Enabled","Native","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"185750.76","184010.5","5587.178713988019","179098","207670","184202.0730731061","187299.44692689393","commonmain-plain-jar","3033.2066","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7976.8275","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223530.72","220326.5","7603.383508487707","216602","256936","221423.16961678508","225638.27038321493","commonmain-plain-win-exe","103107.3639","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187197.28","187242.5","4983.988616785245","179183","205916","185815.78883787213","188578.77116212787","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3718.3023","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4901.4817","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225801.94","220870","13453.83289049281","213273","278701","222072.72778383133","229531.15221616867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24636.0307","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188505.36","188242","4674.457811012821","179440","200976","187209.66639991725","189801.05360008273","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3718.3023","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4901.4817","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223139.86","221541","5829.100956373276","216667","239451","221524.11564872676","224755.6043512732","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24636.0307","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187206.12","186247","3883.2938398388824","182126","198398","186129.72586426392","188282.51413573607","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3725.5501","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
