"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","InstrumentPropertyAccessors","Common","FlushEarly","Reference","Dedicated","Enabled","Native","TestKIR","JVM","JS","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"158309.9","156556.5","9423.378975522872","145754","200471","155697.87261128906","160921.92738871093","commonmain-plain-jar","2044.1318","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6537.9906","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136747.12","136507.5","3014.4478740403065","131406","145878","135911.55767895922","137582.68232104077","commonmain-plain-linux-exe","17485.3555","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154302.48","153200","5487.0391675404","144318","167216","152781.55033923045","155823.40966076957","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2197.9846","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4265.9874","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136702.34","135524","4776.789048799905","130094","154750","135378.28162794802","138026.39837205198","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20259.2928","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152518.92","152223.5","4449.873686994281","143820","164176","151285.4779430771","153752.36205692292","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2197.9846","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4265.9874","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135513.68","135128","2931.120238866683","128791","144785","134701.2149210287","136326.14507897128","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20259.2928","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152904.18","152457.5","5844.233843014562","144644","176371","151284.24102655568","154524.1189734443","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2640.2899","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4404.8688","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136251.98","135835","3471.938031340621","130914","145396","135289.6078770784","137214.3521229216","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18132.26","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152267.44","152116","4379.652638168969","144181","163979","151053.4622247612","153481.4177752388","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2640.2899","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
