"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JVM","Native","JS","Reference","Common","CILabel","InstrumentPropertyAccessors","Methods","FlushEarly","Dedicated","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"233633.32","193318.5","55113.57590798204","182035","390548","218356.61616209033","248910.02383790968","commonmain-plain-jar","4376.1039","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","12597.4309","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239529.3","233772","22277.999407533","218305","294388","233354.1536146841","245704.44638531588","commonmain-plain-win-exe","109875.9353","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189318.66","188386.5","5151.694049137464","183268","214645","187890.68326367656","190746.63673632345","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3998.6281","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5769.7214","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249421.62","245477.5","15226.05782108489","229260","306892","245201.17209547717","253642.06790452282","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","55205.1465","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219812.18","220447.5","18765.496955512448","185166","282598","214610.64962136527","225013.7103786347","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3998.6281","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5769.7214","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228055.54","224139.5","10877.25419135111","219788","278761","225040.5189618375","231070.56103816253","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","55205.1465","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214969.48","219472","14621.939473578037","187613","238573","210916.48515810043","219022.4748418996","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3408.1452","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5115.9514","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248260.26","248138.5","14214.132392295855","226526","284250","244320.30351391592","252200.2164860841","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","36704.0741","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223220.76","221833.5","8021.429946724216","210052","246835","220997.33305602454","225444.18694397548","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3408.1452","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5115.9514","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"252215.66","248085.5","15534.94165121101","228053","288904","247909.59386593182","256521.7261340682","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","36704.0741","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204697.14","198373","17421.584121615648","186214","273846","199868.12325360873","209526.1567463913","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3220.5961","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5169.0106","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250765.56","248290.5","15303.469269417312","227278","307859","246523.6547367347","255007.4652632653","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25188.4405","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222408","219921","8063.371594400679","211876","244747","220172.94742441794","224643.05257558206","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3220.5961","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5169.0106","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"261371.76","256226","35982.74222148667","231610","463731","251397.85271604374","271345.6672839563","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25188.4405","50","False","500","System.Boolean[]","True","True","True","True","True","ci-windows-large","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-25 02:43:46","1838123811e28b76e7a54c22dba829d0f93bbd6b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.55","High performance","0.17","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
