"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JVM","Reference","Methods","JS","Common","InstrumentPropertyAccessors","FlushEarly","Enabled","Native","CILabel","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"172957.42","154661.5","38356.300574998","144599","298651","162325.59590677827","183589.24409322176","commonmain-plain-jar","1952.8322","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6213.073","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138521.74","137978.5","4315.854065972981","133239","157945","137325.44628674886","139718.03371325112","commonmain-plain-linux-exe","17405.5116","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155185.96","154840","6194.652203048586","140834","167190","153468.8900126918","156903.0299873082","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2057.4905","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3695.8597","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137343.42","136806.5","2712.9615498603016","132600","144612","136591.42542447022","138095.4145755298","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18058.5252","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152878.24","151965.5","4580.022045932147","144636","164856","151608.72265850828","154147.7573414917","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2057.4905","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3695.8597","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137429.64","136705","2795.0413582424344","133182","145132","136654.89406234087","138204.38593765916","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18058.5252","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153909.08","154274.5","5609.051725450169","142013","164168","152354.33018365197","155463.829816348","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1751.2431","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
