"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","TestKIR","FlushEarly","Reference","Enabled","Common","JS","Methods","JVM","CILabel","Native","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"220683.54","196584","53948.20868854172","185235","473105","205729.85947495833","235637.2205250417","commonmain-plain-jar","2925.3234","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8098.4601","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247962.1","237507.5","22614.352529682004","224467","309258","241693.72128585452","254230.4787141455","commonmain-plain-win-exe","96843.4273","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196138.32","194665.5","6315.490940051895","189209","228415","194387.7552236687","197888.8847763313","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3503.3941","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5237.0366","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226916.66","224308.5","8316.3482336459","219438","270045","224611.48587755786","229221.83412244215","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24732.3608","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203645.1","195126.5","23528.255680290935","187860","305234","197123.40025671836","210166.79974328165","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3503.3941","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5237.0366","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230651.88","227080","9384.074670092814","220075","265055","228050.74720892165","233253.01279107836","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24732.3608","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203058.9","199161.5","12119.220004621096","187434","236521","199699.62360199998","206418.176398","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2995.2408","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
