variant,platform,step,median_ns,steady_state_start
baseline,JVM,0,7286250,6
baseline,JVM,1,21750,6
baseline,JVM,2,15350,6
baseline,JVM,3,14700,6
baseline,JVM,4,23600,6
baseline,JVM,5,10750,6
baseline,JVM,6,6150,6
baseline,JVM,7,6650,6
baseline,JVM,8,7100,6
baseline,JVM,9,6950,6
baseline,JVM,10,5900,6
baseline,JVM,11,6000,6
baseline,JVM,12,6100,6
baseline,JVM,13,6000,6
baseline,JVM,14,5950,6
baseline,JVM,15,6000,6
baseline,JVM,16,6200,6
baseline,JVM,17,7000,6
baseline,JVM,18,6050,6
baseline,JVM,19,8450,6
baseline,JVM,20,7100,6
baseline,JVM,21,5950,6
baseline,JVM,22,5950,6
baseline,JVM,23,5900,6
baseline,JVM,24,5700,6
baseline,JVM,25,6750,6
baseline,JVM,26,6850,6
baseline,JVM,27,5950,6
baseline,JVM,28,6050,6
baseline,JVM,29,8650,6
baseline,JVM,30,6200,6
baseline,JVM,31,6200,6
baseline,JVM,32,6050,6
baseline,JVM,33,5800,6
baseline,JVM,34,6700,6
baseline,JVM,35,5900,6
baseline,JVM,36,5800,6
baseline,JVM,37,5800,6
baseline,JVM,38,6000,6
baseline,JVM,39,5900,6
baseline,JVM,40,6000,6
baseline,JVM,41,6100,6
baseline,JVM,42,5850,6
baseline,JVM,43,22500,6
baseline,JVM,44,6200,6
baseline,JVM,45,6000,6
baseline,JVM,46,5950,6
baseline,JVM,47,5950,6
baseline,JVM,48,6200,6
baseline,JVM,49,5850,6
baseline,JVM,50,5850,6
baseline,JVM,51,6700,6
baseline,JVM,52,6050,6
baseline,JVM,53,5800,6
baseline,JVM,54,6750,6
baseline,JVM,55,5950,6
baseline,JVM,56,5900,6
baseline,JVM,57,21900,6
baseline,JVM,58,6300,6
baseline,JVM,59,5900,6
baseline,JVM,60,6600,6
baseline,JVM,61,5900,6
baseline,JVM,62,5800,6
baseline,JVM,63,6400,6
baseline,JVM,64,5900,6
baseline,JVM,65,5800,6
baseline,JVM,66,6700,6
baseline,JVM,67,5700,6
baseline,JVM,68,6850,6
baseline,JVM,69,5650,6
baseline,JVM,70,5550,6
baseline,JVM,71,5500,6
baseline,JVM,72,5600,6
baseline,JVM,73,5600,6
baseline,JVM,74,5450,6
baseline,JVM,75,5500,6
baseline,JVM,76,5550,6
baseline,JVM,77,6350,6
baseline,JVM,78,5400,6
baseline,JVM,79,5400,6
baseline,JVM,80,5450,6
baseline,JVM,81,5500,6
baseline,JVM,82,5400,6
baseline,JVM,83,5400,6
baseline,JVM,84,5500,6
baseline,JVM,85,11300,6
baseline,JVM,86,6300,6
baseline,JVM,87,5400,6
baseline,JVM,88,5400,6
baseline,JVM,89,5300,6
baseline,JVM,90,5300,6
baseline,JVM,91,5350,6
baseline,JVM,92,5250,6
baseline,JVM,93,5450,6
baseline,JVM,94,6100,6
baseline,JVM,95,5450,6
baseline,JVM,96,5800,6
baseline,JVM,97,5400,6
baseline,JVM,98,5650,6
baseline,JVM,99,5350,6
baseline,JVM,100,5350,6
baseline,JVM,101,5300,6
baseline,JVM,102,5300,6
baseline,JVM,103,6100,6
baseline,JVM,104,5400,6
baseline,JVM,105,5300,6
baseline,JVM,106,5250,6
baseline,JVM,107,5400,6
baseline,JVM,108,5200,6
baseline,JVM,109,5200,6
baseline,JVM,110,5200,6
baseline,JVM,111,6100,6
baseline,JVM,112,5200,6
baseline,JVM,113,5200,6
baseline,JVM,114,5200,6
baseline,JVM,115,5200,6
baseline,JVM,116,5200,6
baseline,JVM,117,5100,6
baseline,JVM,118,5000,6
baseline,JVM,119,5450,6
baseline,JVM,120,6900,6
baseline,JVM,121,5200,6
baseline,JVM,122,5300,6
baseline,JVM,123,5200,6
baseline,JVM,124,5150,6
baseline,JVM,125,5000,6
baseline,JVM,126,5050,6
baseline,JVM,127,6150,6
baseline,JVM,128,5950,6
baseline,JVM,129,5200,6
baseline,JVM,130,5000,6
baseline,JVM,131,4850,6
baseline,JVM,132,4700,6
baseline,JVM,133,2850,6
baseline,JVM,134,2550,6
baseline,JVM,135,2400,6
baseline,JVM,136,2300,6
baseline,JVM,137,2350,6
baseline,JVM,138,2300,6
baseline,JVM,139,2400,6
baseline,JVM,140,2300,6
baseline,JVM,141,2400,6
baseline,JVM,142,2300,6
baseline,JVM,143,2200,6
baseline,JVM,144,2300,6
baseline,JVM,145,2200,6
baseline,JVM,146,2250,6
baseline,JVM,147,2150,6
baseline,JVM,148,2200,6
baseline,JVM,149,2200,6
k-perf,JVM,0,17791300,9
k-perf,JVM,1,3982600,9
k-perf,JVM,2,3401950,9
k-perf,JVM,3,2706950,9
