variant,platform,step,median_ns,steady_state_start
baseline,JVM,0,7169750,6
baseline,JVM,1,21000,6
baseline,JVM,2,15100,6
baseline,JVM,3,11750,6
baseline,JVM,4,12700,6
baseline,JVM,5,10900,6
baseline,JVM,6,10250,6
baseline,JVM,7,6800,6
baseline,JVM,8,7200,6
baseline,JVM,9,7000,6
baseline,JVM,10,6000,6
baseline,JVM,11,6000,6
baseline,JVM,12,6250,6
baseline,JVM,13,6100,6
baseline,JVM,14,6100,6
baseline,JVM,15,6050,6
baseline,JVM,16,6400,6
baseline,JVM,17,7150,6
baseline,JVM,18,5950,6
baseline,JVM,19,7500,6
baseline,JVM,20,7200,6
baseline,JVM,21,6050,6
baseline,JVM,22,6050,6
baseline,JVM,23,6000,6
baseline,JVM,24,5900,6
baseline,JVM,25,7850,6
baseline,JVM,26,6650,6
baseline,JVM,27,6000,6
baseline,JVM,28,6700,6
baseline,JVM,29,8950,6
baseline,JVM,30,6100,6
baseline,JVM,31,6100,6
baseline,JVM,32,6000,6
baseline,JVM,33,5900,6
baseline,JVM,34,6800,6
baseline,JVM,35,6000,6
baseline,JVM,36,5950,6
baseline,JVM,37,5850,6
baseline,JVM,38,7250,6
baseline,JVM,39,6000,6
baseline,JVM,40,6000,6
baseline,JVM,41,6050,6
baseline,JVM,42,6000,6
baseline,JVM,43,14400,6
baseline,JVM,44,5950,6
baseline,JVM,45,5900,6
baseline,JVM,46,6000,6
baseline,JVM,47,5950,6
baseline,JVM,48,6200,6
baseline,JVM,49,5950,6
baseline,JVM,50,5900,6
baseline,JVM,51,6800,6
baseline,JVM,52,6100,6
baseline,JVM,53,5800,6
baseline,JVM,54,6800,6
baseline,JVM,55,5900,6
baseline,JVM,56,5800,6
baseline,JVM,57,21300,6
baseline,JVM,58,6400,6
baseline,JVM,59,5800,6
baseline,JVM,60,6800,6
baseline,JVM,61,5900,6
baseline,JVM,62,5950,6
baseline,JVM,63,6350,6
baseline,JVM,64,5900,6
baseline,JVM,65,5700,6
baseline,JVM,66,6500,6
baseline,JVM,67,5800,6
baseline,JVM,68,6500,6
baseline,JVM,69,5600,6
baseline,JVM,70,5600,6
baseline,JVM,71,5500,6
baseline,JVM,72,5650,6
baseline,JVM,73,5500,6
baseline,JVM,74,5550,6
baseline,JVM,75,5500,6
