variant,platform,step,median_ns,steady_state_start
baseline,JVM,0,7380650,6
baseline,JVM,1,20950,6
baseline,JVM,2,15150,6
baseline,JVM,3,11500,6
baseline,JVM,4,11350,6
baseline,JVM,5,10850,6
baseline,JVM,6,10350,6
baseline,JVM,7,10350,6
baseline,JVM,8,12300,6
baseline,JVM,9,6950,6
baseline,JVM,10,5900,6
baseline,JVM,11,6050,6
baseline,JVM,12,6100,6
baseline,JVM,13,6000,6
baseline,JVM,14,6000,6
baseline,JVM,15,6050,6
baseline,JVM,16,6100,6
baseline,JVM,17,6900,6
baseline,JVM,18,5900,6
baseline,JVM,19,10000,6
baseline,JVM,20,7200,6
baseline,JVM,21,5950,6
baseline,JVM,22,5950,6
baseline,JVM,23,5900,6
baseline,JVM,24,5900,6
baseline,JVM,25,6850,6
baseline,JVM,26,6200,6
baseline,JVM,27,6000,6
baseline,JVM,28,7550,6
baseline,JVM,29,9850,6
baseline,JVM,30,6100,6
baseline,JVM,31,6200,6
baseline,JVM,32,6050,6
baseline,JVM,33,5800,6
baseline,JVM,34,6700,6
baseline,JVM,35,5850,6
baseline,JVM,36,5800,6
baseline,JVM,37,5900,6
baseline,JVM,38,6100,6
baseline,JVM,39,6200,6
baseline,JVM,40,6000,6
baseline,JVM,41,5900,6
baseline,JVM,42,6050,6
baseline,JVM,43,15050,6
baseline,JVM,44,6050,6
baseline,JVM,45,5900,6
baseline,JVM,46,6000,6
baseline,JVM,47,5850,6
baseline,JVM,48,6200,6
baseline,JVM,49,5900,6
baseline,JVM,50,5800,6
baseline,JVM,51,6800,6
baseline,JVM,52,6000,6
baseline,JVM,53,5800,6
baseline,JVM,54,6750,6
baseline,JVM,55,5950,6
baseline,JVM,56,5900,6
baseline,JVM,57,22050,6
baseline,JVM,58,11850,6
baseline,JVM,59,5800,6
baseline,JVM,60,6750,6
baseline,JVM,61,5700,6
baseline,JVM,62,5700,6
baseline,JVM,63,6350,6
baseline,JVM,64,5800,6
baseline,JVM,65,5750,6
baseline,JVM,66,6450,6
baseline,JVM,67,5750,6
baseline,JVM,68,6550,6
baseline,JVM,69,5750,6
baseline,JVM,70,5550,6
baseline,JVM,71,5650,6
baseline,JVM,72,5700,6
baseline,JVM,73,5550,6
baseline,JVM,74,5500,6
baseline,JVM,75,5450,6
baseline,JVM,76,5600,6
baseline,JVM,77,6000,6
baseline,JVM,78,5500,6
baseline,JVM,79,5350,6
baseline,JVM,80,5400,6
baseline,JVM,81,5400,6
baseline,JVM,82,5350,6
baseline,JVM,83,5400,6
baseline,JVM,84,5500,6
baseline,JVM,85,9350,6
baseline,JVM,86,6200,6
baseline,JVM,87,5400,6
baseline,JVM,88,5400,6
baseline,JVM,89,5300,6
baseline,JVM,90,5300,6
baseline,JVM,91,5300,6
baseline,JVM,92,5300,6
baseline,JVM,93,5300,6
baseline,JVM,94,6150,6
baseline,JVM,95,5500,6
baseline,JVM,96,5550,6
baseline,JVM,97,5400,6
baseline,JVM,98,5400,6
baseline,JVM,99,5300,6
baseline,JVM,100,5250,6
baseline,JVM,101,5400,6
baseline,JVM,102,5400,6
baseline,JVM,103,6100,6
baseline,JVM,104,5250,6
baseline,JVM,105,5450,6
baseline,JVM,106,5250,6
baseline,JVM,107,5450,6
baseline,JVM,108,5200,6
baseline,JVM,109,5300,6
baseline,JVM,110,5200,6
baseline,JVM,111,6100,6
baseline,JVM,112,5150,6
baseline,JVM,113,5250,6
baseline,JVM,114,5200,6
baseline,JVM,115,5200,6
baseline,JVM,116,5150,6
baseline,JVM,117,5350,6
baseline,JVM,118,5150,6
baseline,JVM,119,5500,6
baseline,JVM,120,7200,6
baseline,JVM,121,5800,6
baseline,JVM,122,5500,6
baseline,JVM,123,5450,6
baseline,JVM,124,5300,6
baseline,JVM,125,5150,6
baseline,JVM,126,5050,6
baseline,JVM,127,6150,6
baseline,JVM,128,6100,6
baseline,JVM,129,5050,6
baseline,JVM,130,5000,6
baseline,JVM,131,4900,6
baseline,JVM,132,4400,6
baseline,JVM,133,4750,6
baseline,JVM,134,3700,6
baseline,JVM,135,2400,6
baseline,JVM,136,2550,6
baseline,JVM,137,2400,6
baseline,JVM,138,2450,6
baseline,JVM,139,2300,6
baseline,JVM,140,2500,6
baseline,JVM,141,2550,6
baseline,JVM,142,2400,6
baseline,JVM,143,2350,6
baseline,JVM,144,2350,6
baseline,JVM,145,2400,6
baseline,JVM,146,2350,6
baseline,JVM,147,2300,6
baseline,JVM,148,2200,6
baseline,JVM,149,2300,6
k-perf,JVM,0,21336200,11
k-perf,JVM,1,3846050,11
k-perf,JVM,2,3323250,11
k-perf,JVM,3,2738950,11
k-perf,JVM,4,2585850,11
k-perf,JVM,5,2374950,11
k-perf,JVM,6,1962800,11
k-perf,JVM,7,1811200,11
k-perf,JVM,8,1623800,11
k-perf,JVM,9,1510700,11
k-perf,JVM,10,1444250,11
k-perf,JVM,11,1240250,11
k-perf,JVM,12,1185350,11
k-perf,JVM,13,1154350,11
k-perf,JVM,14,1118600,11
k-perf,JVM,15,1072250,11
k-perf,JVM,16,1022700,11
k-perf,JVM,17,975650,11
k-perf,JVM,18,1001950,11
k-perf,JVM,19,965650,11
k-perf,JVM,20,960500,11
k-perf,JVM,21,983650,11
k-perf,JVM,22,966950,11
k-perf,JVM,23,1002450,11
k-perf,JVM,24,983500,11
k-perf,JVM,25,964350,11
k-perf,JVM,26,1006200,11
k-perf,JVM,27,986000,11
k-perf,JVM,28,1085900,11
k-perf,JVM,29,999950,11
k-perf,JVM,30,1010600,11
k-perf,JVM,31,1082050,11
k-perf,JVM,32,981350,11
k-perf,JVM,33,938350,11
k-perf,JVM,34,895050,11
k-perf,JVM,35,857200,11
k-perf,JVM,36,971150,11
k-perf,JVM,37,904200,11
k-perf,JVM,38,1003450,11
k-perf,JVM,39,981700,11
k-perf,JVM,40,959400,11
k-perf,JVM,41,917050,11
k-perf,JVM,42,983550,11
k-perf,JVM,43,907400,11
k-perf,JVM,44,895050,11
k-perf,JVM,45,943650,11
k-perf,JVM,46,864000,11
k-perf,JVM,47,843450,11
k-perf,JVM,48,952250,11
k-perf,JVM,49,905050,11
k-perf,JVM,50,859650,11
k-perf,JVM,51,859950,11
k-perf,JVM,52,888500,11
k-perf,JVM,53,910300,11
