variant,platform,step,median_ns,steady_state_start
baseline,JVM,0,6864100,7
baseline,JVM,1,21550,7
baseline,JVM,2,15250,7
baseline,JVM,3,11300,7
baseline,JVM,4,10700,7
baseline,JVM,5,10550,7
baseline,JVM,6,18150,7
baseline,JVM,7,6300,7
baseline,JVM,8,7250,7
baseline,JVM,9,6800,7
baseline,JVM,10,6050,7
baseline,JVM,11,5950,7
baseline,JVM,12,6150,7
baseline,JVM,13,6100,7
baseline,JVM,14,6000,7
baseline,JVM,15,6000,7
baseline,JVM,16,6050,7
baseline,JVM,17,6900,7
baseline,JVM,18,6000,7
baseline,JVM,19,7100,7
baseline,JVM,20,7000,7
baseline,JVM,21,5950,7
baseline,JVM,22,5950,7
baseline,JVM,23,5900,7
baseline,JVM,24,6000,7
baseline,JVM,25,7050,7
baseline,JVM,26,6100,7
baseline,JVM,27,6000,7
baseline,JVM,28,5900,7
baseline,JVM,29,9600,7
baseline,JVM,30,6100,7
baseline,JVM,31,6100,7
baseline,JVM,32,6100,7
baseline,JVM,33,6000,7
baseline,JVM,34,6800,7
baseline,JVM,35,5900,7
baseline,JVM,36,5950,7
baseline,JVM,37,5750,7
baseline,JVM,38,6150,7
baseline,JVM,39,5900,7
baseline,JVM,40,5850,7
baseline,JVM,41,5950,7
baseline,JVM,42,5950,7
baseline,JVM,43,15150,7
baseline,JVM,44,6100,7
baseline,JVM,45,6000,7
baseline,JVM,46,5950,7
baseline,JVM,47,5850,7
baseline,JVM,48,6100,7
baseline,JVM,49,5850,7
baseline,JVM,50,5800,7
baseline,JVM,51,6750,7
baseline,JVM,52,6050,7
baseline,JVM,53,5800,7
baseline,JVM,54,6700,7
baseline,JVM,55,5750,7
baseline,JVM,56,5850,7
baseline,JVM,57,21650,7
baseline,JVM,58,6200,7
baseline,JVM,59,5700,7
baseline,JVM,60,6450,7
baseline,JVM,61,5800,7
baseline,JVM,62,5700,7
baseline,JVM,63,6250,7
baseline,JVM,64,5800,7
baseline,JVM,65,5650,7
baseline,JVM,66,6700,7
baseline,JVM,67,5700,7
baseline,JVM,68,6500,7
baseline,JVM,69,5700,7
baseline,JVM,70,5550,7
baseline,JVM,71,5650,7
baseline,JVM,72,5650,7
baseline,JVM,73,5450,7
baseline,JVM,74,5450,7
baseline,JVM,75,5400,7
baseline,JVM,76,5400,7
baseline,JVM,77,6050,7
baseline,JVM,78,5400,7
