variant,platform,step,median_ns,steady_state_start
baseline,JVM,0,7138800,6
baseline,JVM,1,22350,6
baseline,JVM,2,15301,6
baseline,JVM,3,12100,6
baseline,JVM,4,11701,6
baseline,JVM,5,17600,6
baseline,JVM,6,8201,6
baseline,JVM,7,7450,6
baseline,JVM,8,9550,6
baseline,JVM,9,6950,6
baseline,JVM,10,6100,6
baseline,JVM,11,6000,6
baseline,JVM,12,6200,6
baseline,JVM,13,6100,6
baseline,JVM,14,6201,6
baseline,JVM,15,6100,6
baseline,JVM,16,6051,6
baseline,JVM,17,7051,6
baseline,JVM,18,5999,6
baseline,JVM,19,11200,6
baseline,JVM,20,7250,6
baseline,JVM,21,6000,6
baseline,JVM,22,6000,6
baseline,JVM,23,5901,6
baseline,JVM,24,6000,6
baseline,JVM,25,7250,6
baseline,JVM,26,6200,6
baseline,JVM,27,6050,6
baseline,JVM,28,6150,6
baseline,JVM,29,6700,6
baseline,JVM,30,6700,6
baseline,JVM,31,6150,6
baseline,JVM,32,6000,6
baseline,JVM,33,5950,6
baseline,JVM,34,6800,6
baseline,JVM,35,6100,6
baseline,JVM,36,6001,6
baseline,JVM,37,5950,6
baseline,JVM,38,6200,6
baseline,JVM,39,5951,6
baseline,JVM,40,5901,6
baseline,JVM,41,6000,6
baseline,JVM,42,5951,6
baseline,JVM,43,14650,6
baseline,JVM,44,6050,6
baseline,JVM,45,6101,6
baseline,JVM,46,5901,6
baseline,JVM,47,5951,6
baseline,JVM,48,6900,6
baseline,JVM,49,6000,6
baseline,JVM,50,6000,6
baseline,JVM,51,6800,6
baseline,JVM,52,6200,6
baseline,JVM,53,6100,6
baseline,JVM,54,6950,6
baseline,JVM,55,5850,6
baseline,JVM,56,5701,6
baseline,JVM,57,22550,6
baseline,JVM,58,6350,6
baseline,JVM,59,5800,6
baseline,JVM,60,6450,6
baseline,JVM,61,5700,6
baseline,JVM,62,5650,6
baseline,JVM,63,6300,6
baseline,JVM,64,5800,6
baseline,JVM,65,5650,6
baseline,JVM,66,5551,6
baseline,JVM,67,5650,6
baseline,JVM,68,6401,6
baseline,JVM,69,5651,6
baseline,JVM,70,5500,6
baseline,JVM,71,5500,6
baseline,JVM,72,5600,6
baseline,JVM,73,5499,6
baseline,JVM,74,5550,6
baseline,JVM,75,5400,6
baseline,JVM,76,5400,6
baseline,JVM,77,6000,6
baseline,JVM,78,5400,6
baseline,JVM,79,5450,6
baseline,JVM,80,5400,6
baseline,JVM,81,5500,6
baseline,JVM,82,5301,6
baseline,JVM,83,5450,6
baseline,JVM,84,5400,6
baseline,JVM,85,10400,6
baseline,JVM,86,6201,6
baseline,JVM,87,5400,6
baseline,JVM,88,5301,6
baseline,JVM,89,5301,6
baseline,JVM,90,5301,6
baseline,JVM,91,5300,6
baseline,JVM,92,5250,6
baseline,JVM,93,5400,6
baseline,JVM,94,6200,6
baseline,JVM,95,5500,6
baseline,JVM,96,6351,6
baseline,JVM,97,5551,6
baseline,JVM,98,5400,6
baseline,JVM,99,5300,6
baseline,JVM,100,5450,6
baseline,JVM,101,5350,6
baseline,JVM,102,5450,6
baseline,JVM,103,6151,6
baseline,JVM,104,5850,6
baseline,JVM,105,5200,6
baseline,JVM,106,5351,6
baseline,JVM,107,5500,6
baseline,JVM,108,5299,6
baseline,JVM,109,5350,6
baseline,JVM,110,5201,6
baseline,JVM,111,6250,6
baseline,JVM,112,5250,6
baseline,JVM,113,5400,6
baseline,JVM,114,5200,6
baseline,JVM,115,5199,6
baseline,JVM,116,5150,6
baseline,JVM,117,5200,6
baseline,JVM,118,5100,6
baseline,JVM,119,5200,6
baseline,JVM,120,9700,6
baseline,JVM,121,5151,6
baseline,JVM,122,5300,6
baseline,JVM,123,5400,6
baseline,JVM,124,5251,6
baseline,JVM,125,5100,6
baseline,JVM,126,5100,6
baseline,JVM,127,6100,6
baseline,JVM,128,6100,6
baseline,JVM,129,5250,6
