variant,platform,step,median_ns,steady_state_start
baseline,JVM,0,7074399,3
baseline,JVM,1,24899,3
baseline,JVM,2,16801,3
baseline,JVM,3,12401,3
baseline,JVM,4,14900,3
baseline,JVM,5,24400,3
baseline,JVM,6,17900,3
baseline,JVM,7,6300,3
baseline,JVM,8,7299,3
baseline,JVM,9,6400,3
baseline,JVM,10,8400,3
baseline,JVM,11,6400,3
baseline,JVM,12,6300,3
baseline,JVM,13,6601,3
baseline,JVM,14,12500,3
baseline,JVM,15,7100,3
baseline,JVM,16,10000,3
baseline,JVM,17,7901,3
baseline,JVM,18,11801,3
baseline,JVM,19,7300,3
k-perf,JVM,0,10880700,4
k-perf,JVM,1,1211600,4
k-perf,JVM,2,1190101,4
k-perf,JVM,3,836500,4
k-perf,JVM,4,681799,4
k-perf,JVM,5,1355801,4
k-perf,JVM,6,513500,4
k-perf,JVM,7,616501,4
k-perf,JVM,8,572399,4
k-perf,JVM,9,602700,4
k-perf,JVM,10,557300,4
k-perf,JVM,11,514600,4
k-perf,JVM,12,454699,4
k-perf,JVM,13,373601,4
k-perf,JVM,14,410000,4
k-perf,JVM,15,307000,4
k-perf,JVM,16,354400,4
k-perf,JVM,17,307900,4
k-perf,JVM,18,319800,4
k-perf,JVM,19,295300,4
otel,JVM,0,11574800,4
otel,JVM,1,8235101,4
otel,JVM,2,33830800,4
otel,JVM,3,3328300,4
otel,JVM,4,2819501,4
otel,JVM,5,15085601,4
otel,JVM,6,2177199,4
otel,JVM,7,1894100,4
otel,JVM,8,12398200,4
otel,JVM,9,2256399,4
otel,JVM,10,1767399,4
otel,JVM,11,8103500,4
otel,JVM,12,1332700,4
otel,JVM,13,1385000,4
otel,JVM,14,4751399,4
otel,JVM,15,1291400,4
otel,JVM,16,1007699,4
otel,JVM,17,4878700,4
otel,JVM,18,937401,4
otel,JVM,19,1450800,4
otel-proto,JVM,0,80990799,1
otel-proto,JVM,1,25539700,1
otel-proto,JVM,2,21349100,1
otel-proto,JVM,3,33881300,1
otel-proto,JVM,4,22073900,1
otel-proto,JVM,5,19764500,1
otel-proto,JVM,6,17817700,1
otel-proto,JVM,7,19669400,1
otel-proto,JVM,8,21485799,1
otel-proto,JVM,9,16785800,1
otel-proto,JVM,10,15065000,1
otel-proto,JVM,11,13278800,1
otel-proto,JVM,12,14785800,1
otel-proto,JVM,13,25182500,1
otel-proto,JVM,14,15826500,1
otel-proto,JVM,15,14067900,1
otel-proto,JVM,16,10858699,1
otel-proto,JVM,17,11891901,1
otel-proto,JVM,18,9776600,1
otel-proto,JVM,19,10418500,1
otel-proto-timesource,JVM,0,8993300,8
otel-proto-timesource,JVM,1,5835700,8
otel-proto-timesource,JVM,2,4889300,8
otel-proto-timesource,JVM,3,3748201,8
otel-proto-timesource,JVM,4,3564400,8
otel-proto-timesource,JVM,5,2862801,8
otel-proto-timesource,JVM,6,2703299,8
otel-proto-timesource,JVM,7,2355899,8
otel-proto-timesource,JVM,8,2048800,8
otel-proto-timesource,JVM,9,1639801,8
otel-proto-timesource,JVM,10,5232200,8
otel-proto-timesource,JVM,11,1731099,8
otel-proto-timesource,JVM,12,930899,8
otel-proto-timesource,JVM,13,1219700,8
otel-proto-timesource,JVM,14,1072500,8
otel-proto-timesource,JVM,15,1007200,8
otel-proto-timesource,JVM,16,863599,8
otel-proto-timesource,JVM,17,1164600,8
otel-proto-timesource,JVM,18,782200,8
otel-proto-timesource,JVM,19,891800,8
baseline,JS,0,958600,7
baseline,JS,1,128000,7
baseline,JS,2,181200,7
baseline,JS,3,145100,7
baseline,JS,4,102200,7
baseline,JS,5,90500,7
baseline,JS,6,66300,7
baseline,JS,7,22300,7
baseline,JS,8,34900,7
baseline,JS,9,57000,7
baseline,JS,10,59700,7
baseline,JS,11,21900,7
baseline,JS,12,21200,7
baseline,JS,13,35100,7
baseline,JS,14,32000,7
baseline,JS,15,31400,7
baseline,JS,16,10200,7
baseline,JS,17,10100,7
