variant,platform,step,median_ns,steady_state_start
baseline,JVM,0,6816200,6
baseline,JVM,1,21150,6
baseline,JVM,2,15550,6
baseline,JVM,3,27600,6
baseline,JVM,4,14200,6
baseline,JVM,5,12350,6
baseline,JVM,6,10000,6
baseline,JVM,7,6500,6
baseline,JVM,8,7700,6
baseline,JVM,9,7300,6
baseline,JVM,10,5950,6
baseline,JVM,11,6000,6
baseline,JVM,12,6200,6
baseline,JVM,13,6250,6
baseline,JVM,14,6000,6
baseline,JVM,15,6050,6
baseline,JVM,16,6200,6
baseline,JVM,17,6950,6
baseline,JVM,18,6100,6
baseline,JVM,19,10850,6
baseline,JVM,20,7750,6
baseline,JVM,21,5950,6
baseline,JVM,22,6000,6
baseline,JVM,23,5950,6
baseline,JVM,24,5900,6
baseline,JVM,25,7550,6
baseline,JVM,26,7400,6
baseline,JVM,27,6000,6
baseline,JVM,28,6000,6
baseline,JVM,29,8000,6
baseline,JVM,30,5900,6
baseline,JVM,31,6000,6
baseline,JVM,32,6000,6
baseline,JVM,33,5850,6
baseline,JVM,34,6800,6
baseline,JVM,35,6000,6
baseline,JVM,36,5900,6
baseline,JVM,37,5900,6
baseline,JVM,38,6100,6
baseline,JVM,39,6550,6
baseline,JVM,40,6000,6
baseline,JVM,41,6100,6
baseline,JVM,42,6000,6
baseline,JVM,43,16150,6
baseline,JVM,44,6250,6
baseline,JVM,45,5900,6
baseline,JVM,46,5850,6
baseline,JVM,47,5800,6
baseline,JVM,48,6100,6
baseline,JVM,49,5850,6
baseline,JVM,50,5900,6
baseline,JVM,51,6900,6
baseline,JVM,52,6000,6
baseline,JVM,53,5700,6
baseline,JVM,54,6600,6
baseline,JVM,55,5750,6
baseline,JVM,56,5700,6
baseline,JVM,57,21750,6
baseline,JVM,58,6200,6
baseline,JVM,59,5800,6
baseline,JVM,60,6500,6
baseline,JVM,61,5800,6
baseline,JVM,62,5800,6
baseline,JVM,63,7150,6
baseline,JVM,64,6250,6
baseline,JVM,65,5750,6
baseline,JVM,66,6100,6
baseline,JVM,67,5650,6
baseline,JVM,68,6450,6
baseline,JVM,69,5400,6
baseline,JVM,70,5350,6
baseline,JVM,71,5500,6
baseline,JVM,72,5600,6
baseline,JVM,73,5450,6
baseline,JVM,74,5450,6
baseline,JVM,75,5400,6
baseline,JVM,76,5400,6
baseline,JVM,77,6100,6
baseline,JVM,78,5400,6
baseline,JVM,79,5500,6
baseline,JVM,80,5400,6
baseline,JVM,81,5500,6
baseline,JVM,82,5700,6
baseline,JVM,83,5300,6
baseline,JVM,84,5400,6
baseline,JVM,85,9550,6
baseline,JVM,86,6150,6
baseline,JVM,87,5400,6
baseline,JVM,88,5300,6
baseline,JVM,89,5300,6
baseline,JVM,90,5350,6
baseline,JVM,91,5400,6
baseline,JVM,92,5300,6
baseline,JVM,93,5400,6
baseline,JVM,94,6150,6
baseline,JVM,95,5400,6
baseline,JVM,96,5600,6
baseline,JVM,97,5550,6
baseline,JVM,98,5400,6
baseline,JVM,99,9500,6
baseline,JVM,100,5400,6
baseline,JVM,101,5450,6
baseline,JVM,102,5750,6
baseline,JVM,103,6000,6
baseline,JVM,104,5350,6
baseline,JVM,105,5250,6
baseline,JVM,106,5200,6
baseline,JVM,107,5300,6
baseline,JVM,108,5450,6
baseline,JVM,109,5200,6
baseline,JVM,110,5300,6
baseline,JVM,111,6250,6
baseline,JVM,112,5300,6
baseline,JVM,113,5300,6
baseline,JVM,114,5400,6
baseline,JVM,115,5250,6
baseline,JVM,116,5200,6
baseline,JVM,117,5150,6
baseline,JVM,118,5000,6
baseline,JVM,119,5100,6
baseline,JVM,120,11600,6
baseline,JVM,121,5300,6
baseline,JVM,122,5350,6
baseline,JVM,123,5150,6
baseline,JVM,124,5300,6
baseline,JVM,125,5250,6
baseline,JVM,126,5150,6
baseline,JVM,127,6200,6
baseline,JVM,128,6950,6
baseline,JVM,129,5300,6
baseline,JVM,130,4900,6
baseline,JVM,131,4600,6
baseline,JVM,132,3600,6
baseline,JVM,133,3400,6
baseline,JVM,134,2550,6
baseline,JVM,135,3650,6
baseline,JVM,136,2300,6
baseline,JVM,137,2300,6
baseline,JVM,138,2300,6
baseline,JVM,139,2200,6
baseline,JVM,140,2300,6
baseline,JVM,141,2400,6
baseline,JVM,142,2450,6
baseline,JVM,143,2850,6
baseline,JVM,144,2500,6
baseline,JVM,145,2600,6
baseline,JVM,146,2600,6
baseline,JVM,147,2300,6
baseline,JVM,148,2400,6
baseline,JVM,149,2350,6
k-perf,JVM,0,11373900,29
k-perf,JVM,1,1230700,29
k-perf,JVM,2,1253800,29
k-perf,JVM,3,763650,29
k-perf,JVM,4,745500,29
k-perf,JVM,5,1169050,29
k-perf,JVM,6,525200,29
k-perf,JVM,7,534050,29
k-perf,JVM,8,558750,29
k-perf,JVM,9,488400,29
k-perf,JVM,10,568900,29
k-perf,JVM,11,411950,29
k-perf,JVM,12,425850,29
k-perf,JVM,13,397100,29
k-perf,JVM,14,379150,29
k-perf,JVM,15,343150,29
k-perf,JVM,16,385450,29
k-perf,JVM,17,316100,29
k-perf,JVM,18,305150,29
k-perf,JVM,19,324300,29
k-perf,JVM,20,299250,29
k-perf,JVM,21,350500,29
k-perf,JVM,22,314150,29
k-perf,JVM,23,284250,29
k-perf,JVM,24,291800,29
k-perf,JVM,25,278100,29
k-perf,JVM,26,273800,29
k-perf,JVM,27,376500,29
k-perf,JVM,28,235100,29
k-perf,JVM,29,191450,29
k-perf,JVM,30,225250,29
k-perf,JVM,31,258000,29
k-perf,JVM,32,206200,29
k-perf,JVM,33,245350,29
k-perf,JVM,34,291400,29
k-perf,JVM,35,196050,29
k-perf,JVM,36,195400,29
k-perf,JVM,37,196100,29
k-perf,JVM,38,240150,29
k-perf,JVM,39,220250,29
k-perf,JVM,40,235900,29
k-perf,JVM,41,216550,29
k-perf,JVM,42,171750,29
k-perf,JVM,43,180000,29
k-perf,JVM,44,254950,29
k-perf,JVM,45,173900,29
k-perf,JVM,46,178200,29
k-perf,JVM,47,191400,29
k-perf,JVM,48,168950,29
k-perf,JVM,49,201000,29
k-perf,JVM,50,168600,29
k-perf,JVM,51,135200,29
k-perf,JVM,52,154250,29
k-perf,JVM,53,156900,29
k-perf,JVM,54,146750,29
k-perf,JVM,55,225500,29
k-perf,JVM,56,141100,29
k-perf,JVM,57,149650,29
k-perf,JVM,58,168000,29
k-perf,JVM,59,178250,29
k-perf,JVM,60,129400,29
k-perf,JVM,61,168800,29
k-perf,JVM,62,126350,29
k-perf,JVM,63,152800,29
k-perf,JVM,64,144650,29
k-perf,JVM,65,270550,29
k-perf,JVM,66,215600,29
k-perf,JVM,67,162300,29
k-perf,JVM,68,163350,29
k-perf,JVM,69,119650,29
k-perf,JVM,70,145450,29
k-perf,JVM,71,198050,29
k-perf,JVM,72,247000,29
k-perf,JVM,73,159550,29
k-perf,JVM,74,145750,29
k-perf,JVM,75,135250,29
k-perf,JVM,76,185200,29
k-perf,JVM,77,151800,29
k-perf,JVM,78,155450,29
k-perf,JVM,79,122550,29
