variant,platform,step,median_ns,steady_state_start
baseline,JVM,0,7456399,4
baseline,JVM,1,23900,4
baseline,JVM,2,15651,4
baseline,JVM,3,11650,4
baseline,JVM,4,10601,4
baseline,JVM,5,11000,4
baseline,JVM,6,17550,4
baseline,JVM,7,6601,4
baseline,JVM,8,7200,4
baseline,JVM,9,7000,4
baseline,JVM,10,6050,4
baseline,JVM,11,6001,4
baseline,JVM,12,6300,4
baseline,JVM,13,6201,4
baseline,JVM,14,6100,4
baseline,JVM,15,6151,4
baseline,JVM,16,6251,4
baseline,JVM,17,7101,4
baseline,JVM,18,6100,4
baseline,JVM,19,10201,4
baseline,JVM,20,7201,4
baseline,JVM,21,6101,4
baseline,JVM,22,6100,4
baseline,JVM,23,6000,4
baseline,JVM,24,6000,4
baseline,JVM,25,6900,4
baseline,JVM,26,6200,4
baseline,JVM,27,6400,4
baseline,JVM,28,6100,4
baseline,JVM,29,9550,4
baseline,JVM,30,6200,4
baseline,JVM,31,6101,4
baseline,JVM,32,6050,4
baseline,JVM,33,5901,4
baseline,JVM,34,6850,4
baseline,JVM,35,6000,4
baseline,JVM,36,6100,4
baseline,JVM,37,5950,4
baseline,JVM,38,6249,4
baseline,JVM,39,6151,4
baseline,JVM,40,6200,4
baseline,JVM,41,6001,4
baseline,JVM,42,5951,4
baseline,JVM,43,14600,4
baseline,JVM,44,6300,4
baseline,JVM,45,6000,4
baseline,JVM,46,6101,4
baseline,JVM,47,6051,4
baseline,JVM,48,6450,4
baseline,JVM,49,5950,4
baseline,JVM,50,5851,4
baseline,JVM,51,6900,4
baseline,JVM,52,6201,4
baseline,JVM,53,5901,4
baseline,JVM,54,6850,4
baseline,JVM,55,5901,4
baseline,JVM,56,6001,4
baseline,JVM,57,23950,4
baseline,JVM,58,6301,4
baseline,JVM,59,5900,4
baseline,JVM,60,6551,4
baseline,JVM,61,5901,4
baseline,JVM,62,5851,4
baseline,JVM,63,6500,4
baseline,JVM,64,5900,4
baseline,JVM,65,5800,4
baseline,JVM,66,6850,4
baseline,JVM,67,5701,4
baseline,JVM,68,6601,4
baseline,JVM,69,5700,4
baseline,JVM,70,5651,4
baseline,JVM,71,5701,4
baseline,JVM,72,5600,4
baseline,JVM,73,5600,4
baseline,JVM,74,5500,4
baseline,JVM,75,5551,4
baseline,JVM,76,5500,4
baseline,JVM,77,6101,4
baseline,JVM,78,5450,4
baseline,JVM,79,5400,4
baseline,JVM,80,5500,4
baseline,JVM,81,5550,4
baseline,JVM,82,5501,4
baseline,JVM,83,5550,4
baseline,JVM,84,5600,4
baseline,JVM,85,10050,4
baseline,JVM,86,6201,4
baseline,JVM,87,5500,4
baseline,JVM,88,5500,4
baseline,JVM,89,5400,4
baseline,JVM,90,5401,4
baseline,JVM,91,5399,4
baseline,JVM,92,5301,4
baseline,JVM,93,5300,4
baseline,JVM,94,6200,4
baseline,JVM,95,5450,4
baseline,JVM,96,5900,4
baseline,JVM,97,5600,4
baseline,JVM,98,5551,4
baseline,JVM,99,5451,4
baseline,JVM,100,5450,4
baseline,JVM,101,5551,4
baseline,JVM,102,5450,4
baseline,JVM,103,6051,4
baseline,JVM,104,5600,4
baseline,JVM,105,5450,4
baseline,JVM,106,5300,4
