variant,platform,step,median_ns,is_warmup
baseline,JVM,0,7604400,1
baseline,JVM,1,51350,1
baseline,JVM,2,32600,1
baseline,JVM,3,32550,1
baseline,JVM,4,31750,1
baseline,JVM,5,31500,1
baseline,JVM,6,31500,1
baseline,JVM,7,33350,1
baseline,JVM,8,32800,1
baseline,JVM,9,32300,1
baseline,JVM,10,31600,1
baseline,JVM,11,31500,1
baseline,JVM,12,32450,1
baseline,JVM,13,33900,1
baseline,JVM,14,32050,1
baseline,JVM,15,31800,1
baseline,JVM,16,32600,1
baseline,JVM,17,36550,1
baseline,JVM,18,32450,1
baseline,JVM,19,39350,1
baseline,JVM,20,31800,0
baseline,JVM,21,31750,0
baseline,JVM,22,33250,0
baseline,JVM,23,33450,0
baseline,JVM,24,31500,0
baseline,JVM,25,32700,0
baseline,JVM,26,31600,0
baseline,JVM,27,32100,0
baseline,JVM,28,31900,0
baseline,JVM,29,33850,0
baseline,JVM,30,34550,0
baseline,JVM,31,35450,0
baseline,JVM,32,34850,0
baseline,JVM,33,34950,0
baseline,JVM,34,34000,0
baseline,JVM,35,32150,0
baseline,JVM,36,32150,0
baseline,JVM,37,32250,0
baseline,JVM,38,32100,0
baseline,JVM,39,31500,0
baseline,JVM,40,33850,0
baseline,JVM,41,32500,0
baseline,JVM,42,32300,0
baseline,JVM,43,34700,0
baseline,JVM,44,36200,0
baseline,JVM,45,33200,0
baseline,JVM,46,32200,0
baseline,JVM,47,32100,0
baseline,JVM,48,32350,0
baseline,JVM,49,32150,0
baseline,JVM,50,31650,0
baseline,JVM,51,32650,0
baseline,JVM,52,31900,0
baseline,JVM,53,31300,0
baseline,JVM,54,31650,0
baseline,JVM,55,31300,0
baseline,JVM,56,31450,0
baseline,JVM,57,50800,0
baseline,JVM,58,34500,0
baseline,JVM,59,31900,0
baseline,JVM,60,32300,0
baseline,JVM,61,31550,0
baseline,JVM,62,31700,0
baseline,JVM,63,32750,0
baseline,JVM,64,32050,0
baseline,JVM,65,34100,0
baseline,JVM,66,35050,0
baseline,JVM,67,32800,0
baseline,JVM,68,32750,0
baseline,JVM,69,31000,0
baseline,JVM,70,32100,0
baseline,JVM,71,31150,0
baseline,JVM,72,31950,0
baseline,JVM,73,31050,0
baseline,JVM,74,31050,0
baseline,JVM,75,31150,0
baseline,JVM,76,31250,0
baseline,JVM,77,32300,0
baseline,JVM,78,30950,0
baseline,JVM,79,31150,0
baseline,JVM,80,31050,0
baseline,JVM,81,31000,0
baseline,JVM,82,32750,0
baseline,JVM,83,32750,0
baseline,JVM,84,32650,0
baseline,JVM,85,38400,0
baseline,JVM,86,33550,0
baseline,JVM,87,31450,0
baseline,JVM,88,36400,0
baseline,JVM,89,31050,0
baseline,JVM,90,31200,0
baseline,JVM,91,30950,0
baseline,JVM,92,31200,0
baseline,JVM,93,31000,0
baseline,JVM,94,32250,0
baseline,JVM,95,31000,0
baseline,JVM,96,32700,0
baseline,JVM,97,31950,0
baseline,JVM,98,31950,0
baseline,JVM,99,32700,0
k-perf,JVM,0,44160050,1
k-perf,JVM,1,8501400,1
k-perf,JVM,2,6811800,1
k-perf,JVM,3,5840150,1
k-perf,JVM,4,4215050,1
k-perf,JVM,5,3785350,1
k-perf,JVM,6,3242150,1
k-perf,JVM,7,5580200,1
k-perf,JVM,8,2700350,1
k-perf,JVM,9,3013650,1
k-perf,JVM,10,2744300,1
k-perf,JVM,11,2866900,1
k-perf,JVM,12,2876350,1
k-perf,JVM,13,2576650,1
k-perf,JVM,14,2824900,1
k-perf,JVM,15,2798650,1
k-perf,JVM,16,2819400,1
k-perf,JVM,17,3194250,1
k-perf,JVM,18,3210150,1
k-perf,JVM,19,3095700,1
k-perf,JVM,20,3004050,0
k-perf,JVM,21,2991650,0
k-perf,JVM,22,2945800,0
k-perf,JVM,23,3103600,0
k-perf,JVM,24,3207700,0
k-perf,JVM,25,2998550,0
k-perf,JVM,26,4076950,0
k-perf,JVM,27,2266500,0
k-perf,JVM,28,2384600,0
k-perf,JVM,29,2383400,0
k-perf,JVM,30,2355000,0
k-perf,JVM,31,2335850,0
k-perf,JVM,32,2424300,0
k-perf,JVM,33,2350150,0
k-perf,JVM,34,2345350,0
k-perf,JVM,35,2357700,0
k-perf,JVM,36,2831300,0
k-perf,JVM,37,2664500,0
k-perf,JVM,38,2426700,0
k-perf,JVM,39,2433450,0
k-perf,JVM,40,2352550,0
k-perf,JVM,41,2395700,0
k-perf,JVM,42,2390000,0
k-perf,JVM,43,2381350,0
k-perf,JVM,44,2334300,0
k-perf,JVM,45,2348750,0
k-perf,JVM,46,2488550,0
k-perf,JVM,47,2789150,0
k-perf,JVM,48,2850850,0
k-perf,JVM,49,2906100,0
k-perf,JVM,50,2954950,0
k-perf,JVM,51,2809650,0
k-perf,JVM,52,2771000,0
k-perf,JVM,53,2733200,0
k-perf,JVM,54,2675100,0
k-perf,JVM,55,2832850,0
k-perf,JVM,56,2739300,0
k-perf,JVM,57,2864900,0
k-perf,JVM,58,2829200,0
k-perf,JVM,59,2755850,0
k-perf,JVM,60,2775800,0
k-perf,JVM,61,2911150,0
k-perf,JVM,62,2743050,0
k-perf,JVM,63,2711650,0
k-perf,JVM,64,2730450,0
k-perf,JVM,65,2708900,0
k-perf,JVM,66,2843050,0
k-perf,JVM,67,2944900,0
k-perf,JVM,68,2935650,0
k-perf,JVM,69,2814750,0
k-perf,JVM,70,2938150,0
k-perf,JVM,71,2858200,0
k-perf,JVM,72,2949150,0
k-perf,JVM,73,2813000,0
k-perf,JVM,74,2753950,0
k-perf,JVM,75,2741050,0
k-perf,JVM,76,2751100,0
k-perf,JVM,77,2773150,0
k-perf,JVM,78,2891850,0
k-perf,JVM,79,2805400,0
k-perf,JVM,80,3048400,0
k-perf,JVM,81,2800000,0
k-perf,JVM,82,2692950,0
k-perf,JVM,83,2698650,0
k-perf,JVM,84,2777950,0
k-perf,JVM,85,2745150,0
k-perf,JVM,86,2714950,0
k-perf,JVM,87,2715950,0
k-perf,JVM,88,2751900,0
k-perf,JVM,89,2809000,0
k-perf,JVM,90,2867550,0
k-perf,JVM,91,2775400,0
k-perf,JVM,92,2778250,0
k-perf,JVM,93,2729100,0
k-perf,JVM,94,2724300,0
k-perf,JVM,95,2759700,0
k-perf,JVM,96,2798050,0
k-perf,JVM,97,2774350,0
k-perf,JVM,98,2865450,0
k-perf,JVM,99,2801300,0
otel,JVM,0,403825750,1
otel,JVM,1,263742150,1
otel,JVM,2,168808250,1
otel,JVM,3,126191550,1
otel,JVM,4,133175350,1
otel,JVM,5,113563100,1
otel,JVM,6,104874000,1
otel,JVM,7,101318100,1
otel,JVM,8,95507050,1
otel,JVM,9,100295650,1
otel,JVM,10,124650300,1
otel,JVM,11,108518550,1
otel,JVM,12,116762550,1
otel,JVM,13,132584650,1
otel,JVM,14,126639400,1
otel,JVM,15,203907500,1
otel,JVM,16,159792000,1
otel,JVM,17,249768800,1
otel,JVM,18,250836050,1
otel,JVM,19,258771200,1
otel,JVM,20,179603100,0
otel,JVM,21,147267800,0
otel,JVM,22,168145650,0
otel,JVM,23,142735550,0
otel,JVM,24,139372400,0
otel,JVM,25,124977600,0
otel,JVM,26,130690250,0
otel,JVM,27,129149850,0
otel,JVM,28,132841050,0
otel,JVM,29,141772100,0
otel,JVM,30,143636950,0
otel,JVM,31,116347350,0
otel,JVM,32,138961600,0
otel,JVM,33,146418150,0
otel,JVM,34,134407350,0
otel,JVM,35,125995250,0
otel,JVM,36,115538950,0
otel,JVM,37,123263650,0
otel,JVM,38,123253400,0
otel,JVM,39,133975550,0
otel,JVM,40,129699350,0
otel,JVM,41,111864800,0
otel,JVM,42,107864250,0
otel,JVM,43,129158800,0
otel,JVM,44,130856750,0
otel,JVM,45,122946300,0
otel,JVM,46,136723350,0
otel,JVM,47,130563850,0
otel,JVM,48,132947500,0
otel,JVM,49,122423800,0
otel,JVM,50,133835700,0
otel,JVM,51,115931200,0
otel,JVM,52,117648450,0
otel,JVM,53,116469650,0
otel,JVM,54,108428950,0
otel,JVM,55,119763050,0
otel,JVM,56,123829200,0
otel,JVM,57,129989200,0
otel,JVM,58,114664400,0
otel,JVM,59,113926700,0
otel,JVM,60,124929850,0
otel,JVM,61,111659250,0
otel,JVM,62,140431850,0
otel,JVM,63,114378400,0
otel,JVM,64,120589350,0
otel,JVM,65,120535500,0
otel,JVM,66,115731700,0
otel,JVM,67,118434050,0
otel,JVM,68,124660000,0
otel,JVM,69,138808200,0
otel,JVM,70,105788400,0
otel,JVM,71,111397900,0
otel,JVM,72,114184400,0
otel,JVM,73,122831100,0
otel,JVM,74,115678850,0
otel,JVM,75,122554050,0
otel,JVM,76,120842850,0
otel,JVM,77,127865150,0
otel,JVM,78,120979950,0
otel,JVM,79,105570950,0
otel,JVM,80,123485750,0
otel,JVM,81,117019650,0
otel,JVM,82,118536150,0
otel,JVM,83,117500850,0
otel,JVM,84,121695150,0
otel,JVM,85,122860900,0
otel,JVM,86,119130500,0
otel,JVM,87,102331700,0
otel,JVM,88,106907750,0
otel,JVM,89,114509850,0
otel,JVM,90,115129850,0
otel,JVM,91,119273200,0
otel,JVM,92,118507300,0
otel,JVM,93,117204350,0
otel,JVM,94,128929150,0
otel,JVM,95,119280850,0
otel,JVM,96,118306350,0
otel,JVM,97,136999200,0
otel,JVM,98,130742900,0
otel,JVM,99,108919150,0
otel-proto,JVM,0,125445700,1
otel-proto,JVM,1,57482150,1
otel-proto,JVM,2,35271100,1
otel-proto,JVM,3,33379300,1
otel-proto,JVM,4,28512650,1
otel-proto,JVM,5,16703950,1
otel-proto,JVM,6,15650000,1
otel-proto,JVM,7,14286800,1
otel-proto,JVM,8,13351550,1
otel-proto,JVM,9,13310900,1
otel-proto,JVM,10,13868650,1
otel-proto,JVM,11,13328750,1
otel-proto,JVM,12,13052100,1
otel-proto,JVM,13,13250300,1
otel-proto,JVM,14,12924550,1
otel-proto,JVM,15,12953650,1
otel-proto,JVM,16,12820400,1
otel-proto,JVM,17,9956650,1
otel-proto,JVM,18,10093050,1
otel-proto,JVM,19,9946750,1
otel-proto,JVM,20,9525800,0
otel-proto,JVM,21,9894700,0
otel-proto,JVM,22,9519100,0
otel-proto,JVM,23,9740150,0
