variant,platform,step,median_ns,steady_state_start
baseline,JVM,0,7335800,6
baseline,JVM,1,24001,6
baseline,JVM,2,15050,6
baseline,JVM,3,12300,6
baseline,JVM,4,11350,6
baseline,JVM,5,12800,6
baseline,JVM,6,7200,6
baseline,JVM,7,8901,6
baseline,JVM,8,8000,6
baseline,JVM,9,7150,6
baseline,JVM,10,6351,6
baseline,JVM,11,6250,6
baseline,JVM,12,6500,6
baseline,JVM,13,6550,6
baseline,JVM,14,6300,6
baseline,JVM,15,6251,6
baseline,JVM,16,6399,6
baseline,JVM,17,7201,6
baseline,JVM,18,6300,6
baseline,JVM,19,9901,6
baseline,JVM,20,7101,6
baseline,JVM,21,6200,6
baseline,JVM,22,6501,6
baseline,JVM,23,6051,6
baseline,JVM,24,6051,6
baseline,JVM,25,7401,6
baseline,JVM,26,8500,6
baseline,JVM,27,6900,6
baseline,JVM,28,6350,6
baseline,JVM,29,7550,6
baseline,JVM,30,7000,6
baseline,JVM,31,6900,6
baseline,JVM,32,6400,6
baseline,JVM,33,6450,6
baseline,JVM,34,7400,6
baseline,JVM,35,6500,6
baseline,JVM,36,6500,6
baseline,JVM,37,6600,6
baseline,JVM,38,6701,6
baseline,JVM,39,6751,6
baseline,JVM,40,6600,6
baseline,JVM,41,6600,6
baseline,JVM,42,7150,6
baseline,JVM,43,15250,6
baseline,JVM,44,6651,6
baseline,JVM,45,6350,6
baseline,JVM,46,6500,6
baseline,JVM,47,6150,6
baseline,JVM,48,6651,6
baseline,JVM,49,6250,6
baseline,JVM,50,6150,6
baseline,JVM,51,7100,6
baseline,JVM,52,6250,6
baseline,JVM,53,6000,6
baseline,JVM,54,7000,6
baseline,JVM,55,6000,6
baseline,JVM,56,6000,6
baseline,JVM,57,22600,6
baseline,JVM,58,6350,6
baseline,JVM,59,5951,6
baseline,JVM,60,6701,6
baseline,JVM,61,6050,6
baseline,JVM,62,6000,6
baseline,JVM,63,6500,6
baseline,JVM,64,6400,6
baseline,JVM,65,5900,6
baseline,JVM,66,6299,6
baseline,JVM,67,5800,6
baseline,JVM,68,6701,6
baseline,JVM,69,5800,6
baseline,JVM,70,5800,6
baseline,JVM,71,5900,6
baseline,JVM,72,6201,6
baseline,JVM,73,5801,6
baseline,JVM,74,5800,6
baseline,JVM,75,6050,6
baseline,JVM,76,5700,6
baseline,JVM,77,6450,6
baseline,JVM,78,5850,6
baseline,JVM,79,5700,6
baseline,JVM,80,5600,6
baseline,JVM,81,5750,6
baseline,JVM,82,5701,6
baseline,JVM,83,5550,6
baseline,JVM,84,5651,6
baseline,JVM,85,11050,6
baseline,JVM,86,6950,6
baseline,JVM,87,6001,6
baseline,JVM,88,6101,6
baseline,JVM,89,5901,6
baseline,JVM,90,5901,6
baseline,JVM,91,5751,6
baseline,JVM,92,5550,6
baseline,JVM,93,5450,6
baseline,JVM,94,6500,6
baseline,JVM,95,5601,6
baseline,JVM,96,6500,6
baseline,JVM,97,5999,6
baseline,JVM,98,5951,6
baseline,JVM,99,6000,6
baseline,JVM,100,5500,6
baseline,JVM,101,6450,6
baseline,JVM,102,6201,6
baseline,JVM,103,7100,6
baseline,JVM,104,5600,6
baseline,JVM,105,5450,6
baseline,JVM,106,5501,6
baseline,JVM,107,5701,6
baseline,JVM,108,5601,6
baseline,JVM,109,5451,6
baseline,JVM,110,5449,6
baseline,JVM,111,6499,6
baseline,JVM,112,5450,6
baseline,JVM,113,5550,6
baseline,JVM,114,5600,6
baseline,JVM,115,5750,6
baseline,JVM,116,5550,6
baseline,JVM,117,5400,6
baseline,JVM,118,5551,6
baseline,JVM,119,5550,6
baseline,JVM,120,10401,6
baseline,JVM,121,5400,6
baseline,JVM,122,5500,6
baseline,JVM,123,5500,6
baseline,JVM,124,5451,6
baseline,JVM,125,5551,6
baseline,JVM,126,5150,6
baseline,JVM,127,6350,6
baseline,JVM,128,6450,6
baseline,JVM,129,5450,6
baseline,JVM,130,5000,6
baseline,JVM,131,5100,6
baseline,JVM,132,4351,6
baseline,JVM,133,3100,6
baseline,JVM,134,2700,6
baseline,JVM,135,2600,6
