variant,platform,step,median_ns,steady_state_start
baseline,JVM,0,7569050,4
baseline,JVM,1,24199,4
baseline,JVM,2,16501,4
baseline,JVM,3,12551,4
baseline,JVM,4,11201,4
baseline,JVM,5,18200,4
baseline,JVM,6,8800,4
baseline,JVM,7,8351,4
baseline,JVM,8,8200,4
baseline,JVM,9,7500,4
baseline,JVM,10,6450,4
baseline,JVM,11,6400,4
baseline,JVM,12,8300,4
baseline,JVM,13,7401,4
baseline,JVM,14,6800,4
baseline,JVM,15,6650,4
baseline,JVM,16,6800,4
baseline,JVM,17,7700,4
baseline,JVM,18,6550,4
baseline,JVM,19,12250,4
baseline,JVM,20,7700,4
baseline,JVM,21,7150,4
baseline,JVM,22,7651,4
baseline,JVM,23,6551,4
baseline,JVM,24,6401,4
baseline,JVM,25,9350,4
baseline,JVM,26,8400,4
baseline,JVM,27,7100,4
baseline,JVM,28,8800,4
baseline,JVM,29,9650,4
baseline,JVM,30,6850,4
baseline,JVM,31,7001,4
baseline,JVM,32,7051,4
baseline,JVM,33,6701,4
baseline,JVM,34,7651,4
baseline,JVM,35,6700,4
baseline,JVM,36,6751,4
baseline,JVM,37,6601,4
baseline,JVM,38,7001,4
baseline,JVM,39,7901,4
baseline,JVM,40,8150,4
baseline,JVM,41,6951,4
baseline,JVM,42,6649,4
baseline,JVM,43,16000,4
baseline,JVM,44,8250,4
baseline,JVM,45,9101,4
baseline,JVM,46,7100,4
baseline,JVM,47,7051,4
baseline,JVM,48,7951,4
baseline,JVM,49,6701,4
baseline,JVM,50,6600,4
baseline,JVM,51,7750,4
baseline,JVM,52,6949,4
baseline,JVM,53,6701,4
baseline,JVM,54,7601,4
baseline,JVM,55,6500,4
baseline,JVM,56,7299,4
baseline,JVM,57,29201,4
baseline,JVM,58,7150,4
baseline,JVM,59,6449,4
baseline,JVM,60,7050,4
baseline,JVM,61,6250,4
baseline,JVM,62,6300,4
baseline,JVM,63,6800,4
baseline,JVM,64,6501,4
baseline,JVM,65,6400,4
baseline,JVM,66,7199,4
baseline,JVM,67,6050,4
baseline,JVM,68,7300,4
baseline,JVM,69,6101,4
baseline,JVM,70,6100,4
baseline,JVM,71,6051,4
baseline,JVM,72,6450,4
baseline,JVM,73,6100,4
baseline,JVM,74,5850,4
baseline,JVM,75,5750,4
baseline,JVM,76,6001,4
baseline,JVM,77,6651,4
baseline,JVM,78,5900,4
baseline,JVM,79,5899,4
baseline,JVM,80,6300,4
baseline,JVM,81,6050,4
baseline,JVM,82,6150,4
baseline,JVM,83,6000,4
baseline,JVM,84,5950,4
baseline,JVM,85,10650,4
baseline,JVM,86,7050,4
baseline,JVM,87,5850,4
baseline,JVM,88,5999,4
baseline,JVM,89,5900,4
baseline,JVM,90,6001,4
baseline,JVM,91,5800,4
baseline,JVM,92,5800,4
baseline,JVM,93,5801,4
baseline,JVM,94,6849,4
baseline,JVM,95,6100,4
baseline,JVM,96,6400,4
baseline,JVM,97,8901,4
baseline,JVM,98,5950,4
baseline,JVM,99,6701,4
baseline,JVM,100,6151,4
baseline,JVM,101,6150,4
baseline,JVM,102,6050,4
baseline,JVM,103,7049,4
baseline,JVM,104,6151,4
baseline,JVM,105,6100,4
baseline,JVM,106,5850,4
baseline,JVM,107,5850,4
baseline,JVM,108,5950,4
baseline,JVM,109,5700,4
baseline,JVM,110,5701,4
baseline,JVM,111,7300,4
baseline,JVM,112,5800,4
baseline,JVM,113,5900,4
baseline,JVM,114,5700,4
baseline,JVM,115,5799,4
baseline,JVM,116,5750,4
baseline,JVM,117,5500,4
baseline,JVM,118,5650,4
baseline,JVM,119,5750,4
baseline,JVM,120,9449,4
baseline,JVM,121,5851,4
baseline,JVM,122,5650,4
baseline,JVM,123,6301,4
baseline,JVM,124,6650,4
baseline,JVM,125,6200,4
baseline,JVM,126,5550,4
baseline,JVM,127,6650,4
baseline,JVM,128,6551,4
baseline,JVM,129,5650,4
baseline,JVM,130,4950,4
baseline,JVM,131,4900,4
baseline,JVM,132,4150,4
baseline,JVM,133,4750,4
baseline,JVM,134,4500,4
baseline,JVM,135,4800,4
baseline,JVM,136,4550,4
baseline,JVM,137,3750,4
baseline,JVM,138,4050,4
baseline,JVM,139,3300,4
baseline,JVM,140,2950,4
baseline,JVM,141,2851,4
baseline,JVM,142,3451,4
baseline,JVM,143,2700,4
baseline,JVM,144,3901,4
baseline,JVM,145,2800,4
baseline,JVM,146,2800,4
baseline,JVM,147,2750,4
baseline,JVM,148,2850,4
