variant,platform,step,median_ns,steady_state_start
baseline,JVM,0,7706150,4
baseline,JVM,1,24650,4
baseline,JVM,2,16900,4
baseline,JVM,3,12650,4
baseline,JVM,4,11450,4
baseline,JVM,5,20550,4
baseline,JVM,6,6950,4
baseline,JVM,7,7901,4
baseline,JVM,8,7850,4
baseline,JVM,9,7501,4
baseline,JVM,10,6600,4
baseline,JVM,11,6600,4
baseline,JVM,12,6900,4
baseline,JVM,13,6700,4
baseline,JVM,14,6500,4
baseline,JVM,15,6500,4
baseline,JVM,16,6700,4
baseline,JVM,17,7699,4
baseline,JVM,18,6700,4
baseline,JVM,19,9500,4
baseline,JVM,20,7501,4
baseline,JVM,21,6601,4
baseline,JVM,22,6500,4
baseline,JVM,23,6550,4
baseline,JVM,24,6551,4
baseline,JVM,25,7550,4
baseline,JVM,26,7901,4
baseline,JVM,27,6601,4
baseline,JVM,28,6601,4
baseline,JVM,29,10050,4
baseline,JVM,30,15150,4
baseline,JVM,31,6750,4
baseline,JVM,32,6799,4
baseline,JVM,33,6601,4
baseline,JVM,34,7651,4
baseline,JVM,35,6701,4
baseline,JVM,36,6600,4
baseline,JVM,37,6451,4
baseline,JVM,38,6950,4
baseline,JVM,39,6799,4
baseline,JVM,40,6550,4
baseline,JVM,41,6499,4
baseline,JVM,42,6501,4
baseline,JVM,43,15000,4
baseline,JVM,44,6800,4
baseline,JVM,45,6651,4
baseline,JVM,46,6550,4
baseline,JVM,47,6401,4
baseline,JVM,48,7100,4
baseline,JVM,49,6450,4
baseline,JVM,50,6400,4
baseline,JVM,51,7600,4
baseline,JVM,52,6700,4
baseline,JVM,53,6700,4
baseline,JVM,54,7451,4
baseline,JVM,55,6550,4
baseline,JVM,56,6350,4
baseline,JVM,57,23999,4
baseline,JVM,58,6901,4
baseline,JVM,59,6401,4
baseline,JVM,60,7250,4
baseline,JVM,61,6250,4
baseline,JVM,62,6200,4
baseline,JVM,63,6950,4
baseline,JVM,64,6500,4
baseline,JVM,65,6200,4
baseline,JVM,66,6750,4
baseline,JVM,67,6250,4
baseline,JVM,68,7101,4
baseline,JVM,69,6101,4
baseline,JVM,70,6100,4
baseline,JVM,71,5999,4
baseline,JVM,72,6250,4
baseline,JVM,73,6000,4
baseline,JVM,74,6100,4
baseline,JVM,75,6200,4
baseline,JVM,76,6299,4
baseline,JVM,77,6950,4
baseline,JVM,78,6251,4
baseline,JVM,79,6001,4
baseline,JVM,80,6100,4
baseline,JVM,81,6101,4
baseline,JVM,82,6101,4
baseline,JVM,83,6099,4
baseline,JVM,84,5901,4
baseline,JVM,85,11500,4
baseline,JVM,86,6851,4
baseline,JVM,87,6000,4
baseline,JVM,88,6051,4
baseline,JVM,89,6000,4
baseline,JVM,90,5850,4
baseline,JVM,91,6000,4
baseline,JVM,92,6000,4
baseline,JVM,93,6050,4
baseline,JVM,94,7300,4
baseline,JVM,95,7750,4
baseline,JVM,96,7600,4
baseline,JVM,97,6500,4
baseline,JVM,98,6549,4
baseline,JVM,99,6451,4
baseline,JVM,100,6251,4
baseline,JVM,101,6150,4
baseline,JVM,102,6300,4
baseline,JVM,103,7251,4
baseline,JVM,104,6050,4
baseline,JVM,105,5801,4
baseline,JVM,106,5800,4
baseline,JVM,107,5701,4
baseline,JVM,108,5701,4
baseline,JVM,109,5800,4
baseline,JVM,110,5601,4
baseline,JVM,111,6601,4
baseline,JVM,112,5751,4
baseline,JVM,113,5701,4
baseline,JVM,114,5800,4
baseline,JVM,115,5800,4
baseline,JVM,116,5550,4
baseline,JVM,117,5601,4
baseline,JVM,118,5701,4
baseline,JVM,119,5700,4
baseline,JVM,120,10850,4
baseline,JVM,121,5600,4
baseline,JVM,122,5500,4
baseline,JVM,123,6050,4
baseline,JVM,124,6051,4
baseline,JVM,125,5801,4
baseline,JVM,126,5600,4
baseline,JVM,127,6800,4
baseline,JVM,128,6550,4
baseline,JVM,129,5701,4
baseline,JVM,130,5350,4
baseline,JVM,131,4950,4
baseline,JVM,132,4500,4
baseline,JVM,133,3500,4
baseline,JVM,134,2851,4
baseline,JVM,135,2700,4
baseline,JVM,136,2650,4
baseline,JVM,137,2950,4
baseline,JVM,138,2650,4
baseline,JVM,139,2401,4
baseline,JVM,140,2450,4
baseline,JVM,141,2550,4
baseline,JVM,142,2551,4
baseline,JVM,143,2400,4
baseline,JVM,144,2400,4
baseline,JVM,145,2400,4
baseline,JVM,146,2400,4
baseline,JVM,147,2350,4
baseline,JVM,148,2301,4
baseline,JVM,149,2400,4
k-perf,JVM,0,12445500,32
k-perf,JVM,1,1468350,32
k-perf,JVM,2,1321101,32
k-perf,JVM,3,933550,32
k-perf,JVM,4,825201,32
k-perf,JVM,5,1220151,32
k-perf,JVM,6,576050,32
k-perf,JVM,7,594800,32
k-perf,JVM,8,570051,32
k-perf,JVM,9,511600,32
k-perf,JVM,10,574650,32
k-perf,JVM,11,418401,32
k-perf,JVM,12,431800,32
k-perf,JVM,13,395750,32
k-perf,JVM,14,380151,32
k-perf,JVM,15,354650,32
k-perf,JVM,16,406800,32
k-perf,JVM,17,309900,32
k-perf,JVM,18,309550,32
k-perf,JVM,19,320700,32
k-perf,JVM,20,302650,32
k-perf,JVM,21,363701,32
k-perf,JVM,22,303450,32
k-perf,JVM,23,273250,32
k-perf,JVM,24,279351,32
k-perf,JVM,25,311850,32
k-perf,JVM,26,260350,32
k-perf,JVM,27,349951,32
k-perf,JVM,28,241651,32
k-perf,JVM,29,223650,32
k-perf,JVM,30,228700,32
k-perf,JVM,31,246899,32
k-perf,JVM,32,209700,32
k-perf,JVM,33,274850,32
k-perf,JVM,34,238050,32
k-perf,JVM,35,247400,32
k-perf,JVM,36,215600,32
k-perf,JVM,37,200950,32
k-perf,JVM,38,319450,32
k-perf,JVM,39,208800,32
k-perf,JVM,40,189700,32
k-perf,JVM,41,158350,32
k-perf,JVM,42,157850,32
k-perf,JVM,43,191650,32
k-perf,JVM,44,227450,32
k-perf,JVM,45,143551,32
k-perf,JVM,46,167001,32
k-perf,JVM,47,141951,32
k-perf,JVM,48,125499,32
k-perf,JVM,49,207850,32
k-perf,JVM,50,149600,32
k-perf,JVM,51,136201,32
k-perf,JVM,52,126600,32
k-perf,JVM,53,145351,32
k-perf,JVM,54,125750,32
k-perf,JVM,55,193900,32
k-perf,JVM,56,136151,32
k-perf,JVM,57,138351,32
k-perf,JVM,58,141000,32
k-perf,JVM,59,149400,32
k-perf,JVM,60,151350,32
k-perf,JVM,61,256201,32
k-perf,JVM,62,168851,32
k-perf,JVM,63,159000,32
k-perf,JVM,64,174750,32
k-perf,JVM,65,205400,32
k-perf,JVM,66,211850,32
k-perf,JVM,67,176000,32
k-perf,JVM,68,160050,32
k-perf,JVM,69,147750,32
k-perf,JVM,70,120600,32
k-perf,JVM,71,153000,32
k-perf,JVM,72,215000,32
k-perf,JVM,73,132701,32
k-perf,JVM,74,135150,32
k-perf,JVM,75,109050,32
k-perf,JVM,76,135350,32
k-perf,JVM,77,110151,32
k-perf,JVM,78,133800,32
k-perf,JVM,79,136350,32
k-perf,JVM,80,109800,32
k-perf,JVM,81,119200,32
k-perf,JVM,82,162250,32
k-perf,JVM,83,182250,32
k-perf,JVM,84,115800,32
k-perf,JVM,85,118500,32
k-perf,JVM,86,128050,32
k-perf,JVM,87,105600,32
k-perf,JVM,88,128900,32
k-perf,JVM,89,121000,32
k-perf,JVM,90,98400,32
k-perf,JVM,91,103001,32
k-perf,JVM,92,91150,32
k-perf,JVM,93,97251,32
k-perf,JVM,94,108750,32
k-perf,JVM,95,143001,32
k-perf,JVM,96,101001,32
k-perf,JVM,97,103700,32
k-perf,JVM,98,90451,32
k-perf,JVM,99,104750,32
k-perf,JVM,100,136851,32
k-perf,JVM,101,162200,32
k-perf,JVM,102,129100,32
k-perf,JVM,103,168651,32
k-perf,JVM,104,119650,32
k-perf,JVM,105,115500,32
k-perf,JVM,106,157900,32
k-perf,JVM,107,105850,32
k-perf,JVM,108,112550,32
k-perf,JVM,109,120200,32
k-perf,JVM,110,100250,32
k-perf,JVM,111,104600,32
k-perf,JVM,112,130200,32
k-perf,JVM,113,86550,32
k-perf,JVM,114,89400,32
k-perf,JVM,115,101400,32
k-perf,JVM,116,87751,32
k-perf,JVM,117,120701,32
k-perf,JVM,118,95500,32
k-perf,JVM,119,86950,32
k-perf,JVM,120,86500,32
k-perf,JVM,121,98300,32
k-perf,JVM,122,88400,32
k-perf,JVM,123,108400,32
k-perf,JVM,124,108800,32
k-perf,JVM,125,107501,32
k-perf,JVM,126,109800,32
k-perf,JVM,127,118600,32
k-perf,JVM,128,125350,32
k-perf,JVM,129,130600,32
k-perf,JVM,130,104800,32
k-perf,JVM,131,89850,32
k-perf,JVM,132,111450,32
k-perf,JVM,133,108550,32
k-perf,JVM,134,129300,32
k-perf,JVM,135,91900,32
k-perf,JVM,136,84550,32
k-perf,JVM,137,85601,32
k-perf,JVM,138,86700,32
k-perf,JVM,139,101701,32
k-perf,JVM,140,149900,32
k-perf,JVM,141,94700,32
k-perf,JVM,142,87251,32
k-perf,JVM,143,98250,32
k-perf,JVM,144,107851,32
k-perf,JVM,145,127151,32
k-perf,JVM,146,144050,32
k-perf,JVM,147,96950,32
k-perf,JVM,148,101550,32
k-perf,JVM,149,93450,32
otel,JVM,0,12803850,38
otel,JVM,1,6771750,38
otel,JVM,2,36302650,38
otel,JVM,3,3681651,38
otel,JVM,4,3585000,38
otel,JVM,5,13806851,38
otel,JVM,6,3520650,38
otel,JVM,7,3020750,38
otel,JVM,8,14287550,38
otel,JVM,9,2297400,38
otel,JVM,10,2300900,38
otel,JVM,11,8697850,38
otel,JVM,12,1997050,38
otel,JVM,13,2116100,38
otel,JVM,14,5541901,38
otel,JVM,15,1544050,38
otel,JVM,16,1540900,38
otel,JVM,17,5367000,38
otel,JVM,18,1373350,38
otel,JVM,19,1608750,38
otel,JVM,20,5167500,38
otel,JVM,21,1357701,38
otel,JVM,22,5181751,38
otel,JVM,23,1615501,38
otel,JVM,24,1554050,38
otel,JVM,25,6394850,38
otel,JVM,26,1465200,38
otel,JVM,27,1370700,38
otel,JVM,28,5514200,38
otel,JVM,29,1358101,38
otel,JVM,30,1348501,38
otel,JVM,31,5504751,38
otel,JVM,32,1281601,38
otel,JVM,33,1155750,38
otel,JVM,34,5315500,38
otel,JVM,35,1238400,38
otel,JVM,36,1012151,38
otel,JVM,37,4857301,38
otel,JVM,38,880050,38
otel,JVM,39,894551,38
otel,JVM,40,4794700,38
otel,JVM,41,935350,38
otel,JVM,42,3656600,38
otel,JVM,43,857550,38
otel,JVM,44,775551,38
otel,JVM,45,2999350,38
otel,JVM,46,860300,38
otel,JVM,47,803400,38
otel,JVM,48,2908900,38
otel,JVM,49,861650,38
otel,JVM,50,859300,38
otel,JVM,51,2996450,38
otel,JVM,52,866600,38
otel,JVM,53,753650,38
otel,JVM,54,2941950,38
otel,JVM,55,666800,38
otel,JVM,56,734500,38
otel,JVM,57,2082450,38
otel,JVM,58,581400,38
otel,JVM,59,404450,38
otel,JVM,60,1618251,38
otel,JVM,61,418100,38
otel,JVM,62,1458050,38
otel,JVM,63,488900,38
otel,JVM,64,422150,38
otel,JVM,65,1653151,38
otel,JVM,66,379401,38
otel,JVM,67,394050,38
otel,JVM,68,1439800,38
